age,sex,EducationLevel,Job Title,Years of Experience,fare,MoreThan5Yrs,pclass
54,male,PhD,Software Engineer Manager,17,195000,1,1
37,male,Master's Degree,Senior Software Engineer,9,150000,1,3
28,male,Bachelor's Degree,Front end Developer,2,70000,0,1
27,female,Master's Degree,Back end Developer,2,70000,0,3
34,male,Bachelor's Degree,Front end Developer,5,95000,0,1
43,female,Master's Degree,Senior Software Engineer,12,170000,1,3
27,male,Bachelor's Degree,Back end Developer,2,75000,0,1
56,female,PhD,Software Engineer Manager,18,210000,1,3
32,male,Master's Degree,Full Stack Engineer,7,135000,1,1
40,male,PhD,Senior Software Engineer,12,160000,1,3
23,male,Bachelor's Degree,Front end Developer,1,55000,0,1
46,male,PhD,Senior Project Engineer,16,190000,1,3
41,female,PhD,Senior Project Engineer,11,165000,1,1
28,female,Bachelor's Degree,Front end Developer,3,80000,0,3
34,male,Bachelor's Degree,Back end Developer,6,120000,1,1
49,male,PhD,Software Engineer Manager,15,185000,1,3
43,male,PhD,Senior Project Engineer,13,185000,1,1
54,male,PhD,Software Engineer Manager,16,190000,1,3
36,male,Master's Degree,Senior Software Engineer,8,140000,1,1
33,male,Master's Degree,Full Stack Engineer,6,130000,1,3
27,female,Master's Degree,Back end Developer,2,70000,0,1
44,male,Master's Degree,Senior Project Engineer,11,170000,1,3
31,male,Master's Degree,Senior Project Engineer,6,125000,1,1
38,male,Master's Degree,Senior Software Engineer,10,155000,1,3
27,male,Bachelor's Degree,Front end Developer,2,70000,0,1
54,male,PhD,Software Engineer Manager,17,195000,1,3
31,male,Master's Degree,Senior Software Engineer,7,140000,1,1
32,male,Master's Degree,Back end Developer,6,130000,1,3
38,female,Master's Degree,Back end Developer,10,155000,1,1
51,male,PhD,Software Engineer Manager,16,190000,1,3
28,male,Bachelor's Degree,Front end Developer,2,70000,0,1
27,male,Bachelor's Degree,Front end Developer,3,80000,0,3
43,male,PhD,Senior Project Engineer,13,185000,1,1
27,female,Master's Degree,Full Stack Engineer,3,100000,0,3
49,male,PhD,Software Engineer Manager,15,185000,1,1
48,male,PhD,Senior Project Engineer,16,190000,1,3
31,male,Master's Degree,Senior Project Engineer,7,135000,1,1
40,female,PhD,Senior Software Engineer,12,160000,1,3
24,male,Bachelor's Degree,Front end Developer,1,55000,0,1
27,male,Bachelor's Degree,Front end Developer,3,80000,0,3
42,male,PhD,Senior Software Engineer,14,170000,1,1
24,female,Bachelor's Degree,Front end Developer,1,55000,0,3
28,female,Bachelor's Degree,Front end Developer,3,80000,0,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
31,male,Master's Degree,Full Stack Engineer,7,140000,1,1
43,male,PhD,Software Engineer Manager,13,180000,1,3
27,female,Master's Degree,Back end Developer,2,70000,0,1
49,male,PhD,Software Engineer Manager,15,185000,1,3
48,male,PhD,Senior Project Engineer,16,190000,1,1
31,male,Master's Degree,Senior Project Engineer,6,125000,1,3
40,male,PhD,Senior Software Engineer,12,160000,1,1
36,male,Master's Degree,Senior Software Engineer,8,140000,1,3
54,male,PhD,Software Engineer Manager,17,195000,1,1
27,male,Bachelor's Degree,Front end Developer,2,70000,0,3
28,male,Bachelor's Degree,Front end Developer,2,70000,0,1
44,male,Master's Degree,Senior Project Engineer,11,170000,1,3
43,male,PhD,Senior Project Engineer,13,185000,1,1
54,male,PhD,Software Engineer Manager,17,195000,1,3
32,male,Master's Degree,Back end Developer,6,130000,1,1
38,male,Master's Degree,Senior Software Engineer,10,155000,1,3
49,male,PhD,Software Engineer Manager,15,185000,1,1
27,male,Bachelor's Degree,Front end Developer,3,80000,0,3
54,male,PhD,Software Engineer Manager,17,195000,1,1
31,male,Master's Degree,Senior Project Engineer,7,135000,1,3
24,male,Bachelor's Degree,Back end Developer,1,55000,0,1
48,male,PhD,Senior Project Engineer,16,190000,1,3
27,female,Master's Degree,Back end Developer,2,70000,0,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
44,male,Master's Degree,Senior Project Engineer,11,170000,1,1
37,male,Master's Degree,Senior Software Engineer,9,150000,1,3
56,male,PhD,Software Engineer Manager,17,195000,1,1
28,male,Bachelor's Degree,Front end Developer,2,70000,0,3
54,male,PhD,Software Engineer Manager,17,195000,1,1
31,male,Master's Degree,Senior Project Engineer,6,125000,1,3
49,male,PhD,Software Engineer Manager,15,185000,1,1
54,male,PhD,Software Engineer Manager,17,195000,1,3
27,male,Bachelor's Degree,Front end Developer,3,80000,0,1
42,male,PhD,Senior Software Engineer,14,170000,1,3
38,male,Master's Degree,Senior Software Engineer,10,155000,1,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
27,male,Bachelor's Degree,Front end Developer,2,70000,0,1
31,male,Master's Degree,Full Stack Engineer,7,140000,1,3
54,male,PhD,Software Engineer Manager,17,195000,1,1
36,male,Master's Degree,Senior Software Engineer,8,140000,1,3
27,female,Master's Degree,Back end Developer,2,70000,0,1
49,male,PhD,Software Engineer Manager,15,185000,1,3
48,male,PhD,Senior Project Engineer,16,190000,1,1
31,male,Master's Degree,Senior Project Engineer,7,135000,1,3
40,female,PhD,Senior Software Engineer,12,160000,1,1
24,male,Bachelor's Degree,Front end Developer,1,55000,0,3
27,male,Bachelor's Degree,Front end Developer,3,80000,0,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
27,female,Master's Degree,Full Stack Engineer,3,100000,0,1
49,male,PhD,Software Engineer Manager,15,185000,1,3
48,male,PhD,Senior Project Engineer,16,190000,1,1
31,male,Master's Degree,Senior Project Engineer,6,125000,1,3
40,male,PhD,Senior Software Engineer,12,160000,1,1
36,male,Master's Degree,Senior Software Engineer,8,140000,1,3
54,male,PhD,Software Engineer Manager,17,195000,1,1
27,male,Bachelor's Degree,Front end Developer,2,70000,0,3
28,male,Bachelor's Degree,Front end Developer,2,70000,0,1
44,male,Master's Degree,Senior Project Engineer,11,170000,1,3
43,male,PhD,Senior Project Engineer,13,185000,1,1
54,male,PhD,Software Engineer Manager,17,195000,1,3
32,male,Master's Degree,Back end Developer,6,130000,1,1
38,male,Master's Degree,Senior Software Engineer,10,155000,1,3
49,male,PhD,Software Engineer Manager,15,185000,1,1
27,male,Bachelor's Degree,Front end Developer,3,80000,0,3
54,male,PhD,Software Engineer Manager,17,195000,1,1
31,male,Master's Degree,Senior Project Engineer,7,135000,1,3
24,male,Bachelor's Degree,Back end Developer,1,55000,0,1
48,male,PhD,Senior Project Engineer,16,190000,1,3
27,female,Master's Degree,Back end Developer,2,70000,0,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
44,male,Master's Degree,Senior Project Engineer,11,170000,1,1
37,male,Master's Degree,Senior Software Engineer,9,150000,1,3
56,male,PhD,Software Engineer Manager,17,195000,1,1
28,male,Bachelor's Degree,Front end Developer,2,70000,0,3
54,male,PhD,Software Engineer Manager,17,195000,1,1
31,male,Master's Degree,Senior Project Engineer,6,125000,1,3
49,male,PhD,Software Engineer Manager,15,185000,1,1
54,male,PhD,Software Engineer Manager,17,195000,1,3
27,male,Bachelor's Degree,Front end Developer,3,80000,0,1
42,male,PhD,Senior Software Engineer,14,170000,1,3
38,male,Master's Degree,Senior Software Engineer,10,155000,1,1
36,male,Bachelor's Degree,Front end Developer,7,120000,1,3
29,female,Master's Degree,Back end Developer,3,90000,0,1
41,female,PhD,Software Engineer Manager,14,180000,1,3
33,male,Bachelor's Degree,Full Stack Engineer,7,130000,1,1
42,male,PhD,Senior Software Engineer,12,170000,1,3
28,male,Bachelor's Degree,Back end Developer,2,70000,0,1
55,male,PhD,Software Engineer Manager,18,210000,1,3
26,female,Master's Degree,Front end Developer,1,55000,0,1
47,male,PhD,Senior Project Engineer,16,190000,1,3
44,female,PhD,Software Engineer Manager,11,165000,1,1
30,male,Master's Degree,Full Stack Engineer,5,105000,0,3
39,female,Master's Degree,Senior Software Engineer,11,160000,1,1
32,male,Bachelor's Degree,Front end Developer,6,110000,1,3
50,male,PhD,Software Engineer Manager,17,195000,1,1
27,male,Bachelor's Degree,Back end Developer,3,85000,0,3
46,male,PhD,Senior Project Engineer,14,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
43,male,PhD,Senior Project Engineer,13,185000,1,1
35,male,Bachelor's Degree,Back end Developer,8,140000,1,3
29,female,Master's Degree,Back end Developer,3,90000,0,1
40,female,PhD,Senior Software Engineer,12,160000,1,3
35,male,Bachelor's Degree,Full Stack Engineer,8,145000,1,1
41,male,PhD,Senior Project Engineer,13,185000,1,3
30,male,Master's Degree,Full Stack Engineer,5,105000,0,1
33,male,Bachelor's Degree,Front end Developer,6,110000,1,3
55,male,PhD,Software Engineer Manager,18,210000,1,1
26,female,Master's Degree,Front end Developer,1,55000,0,3
47,male,PhD,Senior Project Engineer,16,190000,1,1
44,female,PhD,Software Engineer Manager,11,165000,1,3
30,male,Master's Degree,Full Stack Engineer,5,105000,0,1
39,female,Master's Degree,Senior Software Engineer,11,160000,1,3
32,male,Bachelor's Degree,Front end Developer,6,110000,1,1
50,male,PhD,Software Engineer Manager,17,195000,1,3
27,male,Bachelor's Degree,Back end Developer,3,85000,0,1
46,male,PhD,Senior Project Engineer,14,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,55000,0,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
35,male,Bachelor's Degree,Back end Developer,8,140000,1,1
29,female,Master's Degree,Back end Developer,3,90000,0,3
40,female,PhD,Senior Software Engineer,12,160000,1,1
35,male,Bachelor's Degree,Full Stack Engineer,8,145000,1,3
41,male,PhD,Senior Project Engineer,13,185000,1,1
30,male,Master's Degree,Full Stack Engineer,5,105000,0,3
33,male,Bachelor's Degree,Front end Developer,6,110000,1,1
55,male,PhD,Software Engineer Manager,18,210000,1,3
26,female,Master's Degree,Front end Developer,1,55000,0,1
47,male,PhD,Senior Project Engineer,16,190000,1,3
44,female,PhD,Software Engineer Manager,11,165000,1,1
30,male,Master's Degree,Full Stack Engineer,5,105000,0,3
39,female,Master's Degree,Senior Software Engineer,11,160000,1,1
32,male,Bachelor's Degree,Front end Developer,6,110000,1,3
50,male,PhD,Software Engineer Manager,17,195000,1,1
27,male,Bachelor's Degree,Back end Developer,3,85000,0,3
46,male,PhD,Senior Project Engineer,14,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
43,male,PhD,Senior Project Engineer,13,185000,1,1
35,male,Bachelor's Degree,Back end Developer,8,140000,1,3
29,female,Master's Degree,Back end Developer,3,90000,0,1
40,female,PhD,Senior Software Engineer,12,160000,1,3
35,male,Bachelor's Degree,Full Stack Engineer,8,145000,1,1
41,male,PhD,Senior Project Engineer,13,185000,1,3
30,male,Master's Degree,Full Stack Engineer,5,105000,0,1
33,male,Bachelor's Degree,Front end Developer,6,110000,1,3
55,male,PhD,Software Engineer Manager,18,210000,1,1
26,female,Master's Degree,Front end Developer,1,55000,0,3
47,male,PhD,Senior Project Engineer,16,190000,1,1
44,female,PhD,Software Engineer Manager,11,165000,1,3
30,male,Master's Degree,Full Stack Engineer,5,105000,0,1
39,female,Master's Degree,Senior Software Engineer,11,160000,1,3
32,male,Bachelor's Degree,Front end Developer,6,110000,1,1
50,male,PhD,Software Engineer Manager,17,195000,1,3
27,male,Bachelor's Degree,Back end Developer,3,85000,0,1
46,male,PhD,Senior Project Engineer,14,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,55000,0,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
35,male,Bachelor's Degree,Back end Developer,8,140000,1,1
29,female,Master's Degree,Back end Developer,3,90000,0,3
40,female,PhD,Senior Software Engineer,12,160000,1,1
35,male,Bachelor's Degree,Full Stack Engineer,8,145000,1,3
41,male,PhD,Senior Project Engineer,13,185000,1,1
30,male,Master's Degree,Full Stack Engineer,5,105000,0,3
33,male,Bachelor's Degree,Front end Developer,6,110000,1,1
55,male,PhD,Software Engineer Manager,18,210000,1,3
26,female,Master's Degree,Front end Developer,1,55000,0,1
47,male,PhD,Senior Project Engineer,16,190000,1,3
44,female,PhD,Software Engineer Manager,11,165000,1,1
30,male,Master's Degree,Full Stack Engineer,5,105000,0,3
39,female,Master's Degree,Senior Software Engineer,11,160000,1,1
32,male,Bachelor's Degree,Front end Developer,6,110000,1,3
50,male,PhD,Software Engineer Manager,17,195000,1,1
27,male,Bachelor's Degree,Back end Developer,3,85000,0,3
46,male,PhD,Senior Project Engineer,14,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
43,male,PhD,Senior Project Engineer,13,185000,1,1
35,male,Bachelor's Degree,Back end Developer,8,140000,1,3
29,female,Master's Degree,Back end Developer,3,90000,0,1
40,female,PhD,Senior Software Engineer,12,160000,1,3
35,male,Bachelor's Degree,Full Stack Engineer,8,145000,1,1
41,male,PhD,Senior Project Engineer,13,185000,1,3
30,male,Master's Degree,Full Stack Engineer,5,105000,0,1
33,male,Bachelor's Degree,Front end Developer,6,110000,1,3
55,male,PhD,Software Engineer Manager,18,210000,1,1
26,female,Master's Degree,Front end Developer,1,55000,0,3
47,male,PhD,Senior Project Engineer,16,190000,1,1
44,female,PhD,Software Engineer Manager,11,165000,1,3
30,male,Master's Degree,Full Stack Engineer,5,105000,0,1
39,female,Master's Degree,Senior Software Engineer,11,160000,1,3
32,male,Bachelor's Degree,Front end Developer,6,110000,1,1
50,male,PhD,Software Engineer Manager,17,195000,1,3
27,male,Bachelor's Degree,Back end Developer,3,85000,0,1
46,male,PhD,Senior Project Engineer,14,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,55000,0,1
43,male,PhD,Senior Project Engineer,13,185000,1,3
35,male,Bachelor's Degree,Back end Developer,8,140000,1,1
29,female,Master's Degree,Back end Developer,3,90000,0,3
40,female,PhD,Senior Software Engineer,12,160000,1,1
35,male,Bachelor's Degree,Full Stack Engineer,8,145000,1,3
41,male,PhD,Senior Project Engineer,13,185000,1,1
30,male,Master's Degree,Full Stack Engineer,5,105000,0,3
33,male,Bachelor's Degree,Front end Developer,6,110000,1,1
55,male,PhD,Software Engineer Manager,18,210000,1,3
31,male,Bachelor's Degree,Front end Developer,6,115000,1,1
42,female,Master's Degree,Software Engineer Manager,13,170000,1,3
27,female,Bachelor's Degree,Back end Developer,3,80000,0,1
51,male,PhD,Senior Project Engineer,19,200000,1,3
34,female,Master's Degree,Full Stack Engineer,7,130000,1,1
38,male,Bachelor's Degree,Software Engineer Manager,11,155000,1,3
29,male,Bachelor's Degree,Front end Developer,5,105000,0,1
43,female,PhD,Senior Project Engineer,14,190000,1,3
36,male,Master's Degree,Back end Developer,8,140000,1,1
48,male,PhD,Software Engineer Manager,16,185000,1,3
35,female,Bachelor's Degree,Full Stack Engineer,8,145000,1,1
30,female,Master's Degree,Front end Developer,4,90000,0,3
50,male,PhD,Senior Project Engineer,18,195000,1,1
29,male,Bachelor's Degree,Back end Developer,4,95000,0,3
41,male,Master's Degree,Software Engineer Manager,13,170000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Senior Project Engineer,16,185000,1,1
28,female,Bachelor's Degree,Front end Developer,2,65000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
46,male,PhD,Senior Project Engineer,15,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
42,male,PhD,Software Engineer Manager,14,190000,1,1
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
49,female,PhD,Senior Project Engineer,17,195000,1,1
36,male,Master's Degree,Back end Developer,9,150000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Software Engineer Manager,16,185000,1,3
28,female,Bachelor's Degree,Front end Developer,2,65000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
46,male,PhD,Senior Project Engineer,15,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,55000,0,1
42,male,PhD,Software Engineer Manager,14,190000,1,3
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
49,female,PhD,Senior Project Engineer,17,195000,1,3
36,male,Master's Degree,Back end Developer,9,150000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Software Engineer Manager,16,185000,1,1
28,female,Bachelor's Degree,Front end Developer,2,65000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
46,male,PhD,Senior Project Engineer,15,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
42,male,PhD,Software Engineer Manager,14,190000,1,1
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
49,female,PhD,Senior Project Engineer,17,195000,1,1
36,male,Master's Degree,Back end Developer,9,150000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Software Engineer Manager,16,185000,1,3
28,female,Bachelor's Degree,Front end Developer,2,65000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
46,male,PhD,Senior Project Engineer,15,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,55000,0,1
42,male,PhD,Software Engineer Manager,14,190000,1,3
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
49,female,PhD,Senior Project Engineer,17,195000,1,3
36,male,Master's Degree,Back end Developer,9,150000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Software Engineer Manager,16,185000,1,1
28,female,Bachelor's Degree,Front end Developer,2,65000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
46,male,PhD,Senior Project Engineer,15,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
42,male,PhD,Software Engineer Manager,14,190000,1,1
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
49,female,PhD,Senior Project Engineer,17,195000,1,1
36,male,Master's Degree,Back end Developer,9,150000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Software Engineer Manager,16,185000,1,3
28,female,Bachelor's Degree,Front end Developer,2,65000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
46,male,PhD,Senior Project Engineer,15,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,55000,0,1
42,male,PhD,Software Engineer Manager,14,190000,1,3
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
49,female,PhD,Senior Project Engineer,17,195000,1,3
36,male,Master's Degree,Back end Developer,9,150000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Software Engineer Manager,16,185000,1,1
28,female,Bachelor's Degree,Front end Developer,2,65000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
46,male,PhD,Senior Project Engineer,15,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
42,male,PhD,Software Engineer Manager,14,190000,1,1
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
49,female,PhD,Senior Project Engineer,17,195000,1,1
36,male,Master's Degree,Back end Developer,9,150000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Software Engineer Manager,16,185000,1,3
28,female,Bachelor's Degree,Front end Developer,2,65000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
46,male,PhD,Senior Project Engineer,15,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,55000,0,1
42,male,PhD,Software Engineer Manager,14,190000,1,3
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
49,female,PhD,Senior Project Engineer,17,195000,1,3
36,male,Master's Degree,Back end Developer,9,150000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Software Engineer Manager,16,185000,1,1
28,female,Bachelor's Degree,Front end Developer,2,65000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
46,male,PhD,Senior Project Engineer,15,180000,1,1
25,female,Bachelor's Degree,Front end Developer,1,55000,0,3
42,male,PhD,Software Engineer Manager,14,190000,1,1
31,male,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
49,female,PhD,Senior Project Engineer,17,195000,1,1
36,male,Master's Degree,Back end Developer,9,150000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Software Engineer Manager,16,185000,1,3
28,female,Bachelor's Degree,Front end Developer,2,65000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
46,male,PhD,Senior Project Engineer,15,180000,1,3
25,female,Bachelor's Degree,Front end Developer,1,550,0,1
29,male,Bachelor's Degree,Front end Developer,4,90000,0,3
40,female,Master's Degree,Software Engineer Manager,12,160000,1,1
27,female,Bachelor's Degree,Back end Developer,3,80000,0,3
50,male,PhD,Senior Project Engineer,18,195000,1,1
33,female,Master's Degree,Full Stack Engineer,6,115000,1,3
37,male,Bachelor's Degree,Software Engineer Manager,10,150000,1,1
28,male,Bachelor's Degree,Front end Developer,2,65000,0,3
44,female,PhD,Senior Project Engineer,14,190000,1,1
35,male,Master's Degree,Back end Developer,8,140000,1,3
47,male,PhD,Software Engineer Manager,16,185000,1,1
34,female,Bachelor's Degree,Full Stack Engineer,7,130000,1,3
31,female,Master's Degree,Front end Developer,5,105000,0,1
51,male,PhD,Senior Project Engineer,19,200000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
42,male,Master's Degree,Software Engineer Manager,13,170000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Senior Project Engineer,16,185000,1,3
29,female,Bachelor's Degree,Front end Developer,4,90000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
27,male,Bachelor's Degree,Back end Developer,3,80000,0,1
49,male,PhD,Senior Project Engineer,17,195000,1,3
32,female,Master's Degree,Full Stack Engineer,6,115000,1,1
36,male,Bachelor's Degree,Software Engineer Manager,8,135000,1,3
27,male,Bachelor's Degree,Front end Developer,2,65000,0,1
43,female,PhD,Senior Project Engineer,14,190000,1,3
34,male,Master's Degree,Back end Developer,8,140000,1,1
46,male,PhD,Software Engineer Manager,16,185000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,7,130000,1,1
30,female,Master's Degree,Front end Developer,5,105000,0,3
50,male,PhD,Senior Project Engineer,19,200000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
42,male,Master's Degree,Software Engineer Manager,13,170000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Senior Project Engineer,16,185000,1,1
29,female,Bachelor's Degree,Front end Developer,4,90000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
27,male,Bachelor's Degree,Back end Developer,3,80000,0,3
49,male,PhD,Senior Project Engineer,17,195000,1,1
32,female,Master's Degree,Full Stack Engineer,6,115000,1,3
36,male,Bachelor's Degree,Software Engineer Manager,8,135000,1,1
27,male,Bachelor's Degree,Front end Developer,2,65000,0,3
43,female,PhD,Senior Project Engineer,14,190000,1,1
34,male,Master's Degree,Back end Developer,8,140000,1,3
46,male,PhD,Software Engineer Manager,16,185000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,7,130000,1,3
30,female,Master's Degree,Front end Developer,5,105000,0,1
50,male,PhD,Senior Project Engineer,19,200000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
42,male,Master's Degree,Software Engineer Manager,13,170000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Senior Project Engineer,16,185000,1,3
29,female,Bachelor's Degree,Front end Developer,4,90000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
27,male,Bachelor's Degree,Back end Developer,3,80000,0,1
49,male,PhD,Senior Project Engineer,17,195000,1,3
32,female,Master's Degree,Full Stack Engineer,6,115000,1,1
36,male,Bachelor's Degree,Software Engineer Manager,8,135000,1,3
27,male,Bachelor's Degree,Front end Developer,2,65000,0,1
43,female,PhD,Senior Project Engineer,14,190000,1,3
34,male,Master's Degree,Back end Developer,8,140000,1,1
46,male,PhD,Software Engineer Manager,16,185000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,7,130000,1,1
30,female,Master's Degree,Front end Developer,5,105000,0,3
50,male,PhD,Senior Project Engineer,19,200000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
42,male,Master's Degree,Software Engineer Manager,13,170000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Senior Project Engineer,16,185000,1,1
29,female,Bachelor's Degree,Front end Developer,4,90000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
27,male,Bachelor's Degree,Back end Developer,3,80000,0,3
49,male,PhD,Senior Project Engineer,17,195000,1,1
32,female,Master's Degree,Full Stack Engineer,6,115000,1,3
36,male,Bachelor's Degree,Software Engineer Manager,8,135000,1,1
27,male,Bachelor's Degree,Front end Developer,2,65000,0,3
43,female,PhD,Senior Project Engineer,14,190000,1,1
34,male,Master's Degree,Back end Developer,8,140000,1,3
46,male,PhD,Software Engineer Manager,16,185000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,7,130000,1,3
30,female,Master's Degree,Front end Developer,5,105000,0,1
50,male,PhD,Senior Project Engineer,19,200000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
42,male,Master's Degree,Software Engineer Manager,13,170000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,1
45,male,PhD,Senior Project Engineer,16,185000,1,3
29,female,Bachelor's Degree,Front end Developer,4,90000,0,1
39,female,Master's Degree,Software Engineer Manager,12,160000,1,3
27,male,Bachelor's Degree,Back end Developer,3,80000,0,1
49,male,PhD,Senior Project Engineer,17,195000,1,3
32,female,Master's Degree,Full Stack Engineer,6,115000,1,1
36,male,Bachelor's Degree,Software Engineer Manager,8,135000,1,3
27,male,Bachelor's Degree,Front end Developer,2,65000,0,1
43,female,PhD,Senior Project Engineer,14,190000,1,3
34,male,Master's Degree,Back end Developer,8,140000,1,1
46,male,PhD,Software Engineer Manager,16,185000,1,3
33,female,Bachelor's Degree,Full Stack Engineer,7,130000,1,1
30,female,Master's Degree,Front end Developer,5,105000,0,3
50,male,PhD,Senior Project Engineer,19,200000,1,1
30,male,Bachelor's Degree,Back end Developer,5,100000,0,3
42,male,Master's Degree,Software Engineer Manager,13,170000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,6,115000,1,3
45,male,PhD,Senior Project Engineer,16,185000,1,1
29,female,Bachelor's Degree,Front end Developer,4,90000,0,3
39,female,Master's Degree,Software Engineer Manager,12,160000,1,1
27,male,Bachelor's Degree,Back end Developer,3,80000,0,3
49,male,PhD,Senior Project Engineer,17,195000,1,1
32,female,Master's Degree,Full Stack Engineer,6,115000,1,3
36,male,Bachelor's Degree,Software Engineer Manager,8,135000,1,1
27,male,Bachelor's Degree,Front end Developer,2,65000,0,3
43,female,PhD,Senior Project Engineer,14,190000,1,1
34,male,Master's Degree,Back end Developer,8,140000,1,3
46,male,PhD,Software Engineer Manager,16,185000,1,1
33,female,Bachelor's Degree,Full Stack Engineer,7,130000,1,3
30,female,Master's Degree,Front end Developer,5,105000,0,1
50,male,PhD,Senior Project Engineer,19,200000,1,3
30,male,Bachelor's Degree,Back end Developer,5,100000,0,1
